Country,Viewer Age Group,Viewer Gender,Viewer Percent
Italy,25-34,m,100.0
Philippines,18-24,m,100.0
Vietnam,13-17,m,75.9
Indonesia,25-34,m,71.6
Thailand,55-64,m,49.7
Malaysia,35-44,m,45.8
Indonesia,25-34,f,21.0
Malaysia,18-24,m,19.0
Malaysia,25-34,m,18.8
Malaysia,25-34,f,16.5
Thailand,25-34,f,12.3
Thailand,13-17,f,11.8
Vietnam,25-34,m,8.7
Thailand,13-17,m,7.8
Vietnam,18-24,f,7.7
Vietnam,18-24,m,7.7
Indonesia,18-24,m,7.4
Thailand,18-24,f,5.1
Thailand,25-34,m,4.8
Thailand,18-24,m,4.4
Thailand,35-44,m,4.0
Thailand,55-64,f,0.0
Thailand,65-,f,0.0
Thailand,45-54,f,0.0
Thailand,35-44,f,0.0
Thailand,65-,m,0.0
Thailand,45-54,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,45-54,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,55-64,m,0.0
Malaysia,45-54,f,0.0
Malaysia,35-44,f,0.0
Malaysia,18-24,f,0.0
Malaysia,65-,m,0.0
Malaysia,45-54,m,0.0
Malaysia,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,13-17,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,25-34,f,0.0
Italy,55-64,m,0.0
Italy,45-54,f,0.0
Italy,35-44,f,0.0
Italy,18-24,f,0.0
Italy,65-,m,0.0
Italy,35-44,m,0.0
Italy,45-54,m,0.0
Italy,18-24,m,0.0
Italy,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,m,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,25-34,m,0.0
Philippines,25-34,f,0.0
Philippines,55-64,m,0.0
Philippines,45-54,f,0.0
Philippines,35-44,f,0.0
Philippines,18-24,f,0.0
Philippines,65-,m,0.0
Philippines,35-44,m,0.0
Philippines,45-54,m,0.0
Philippines,13-17,m,0.0
Canada,55-64,f,0.0
Canada,65-,f,0.0
Canada,25-34,m,0.0
Canada,25-34,f,0.0
Canada,55-64,m,0.0
Canada,45-54,f,0.0
Canada,35-44,f,0.0
Canada,18-24,f,0.0
Canada,65-,m,0.0
Canada,35-44,m,0.0
Canada,45-54,m,0.0
Canada,18-24,m,0.0
Canada,13-17,m,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,25-34,m,0.0
United States,25-34,f,0.0
United States,55-64,m,0.0
United States,45-54,f,0.0
United States,35-44,f,0.0
United States,18-24,f,0.0
United States,65-,m,0.0
United States,35-44,m,0.0
United States,45-54,m,0.0
United States,18-24,m,0.0
United States,13-17,m,0.0
Hong Kong,55-64,f,0.0
Hong Kong,65-,f,0.0
Hong Kong,25-34,m,0.0
Hong Kong,25-34,f,0.0
Hong Kong,55-64,m,0.0
Hong Kong,45-54,f,0.0
Hong Kong,35-44,f,0.0
Hong Kong,18-24,f,0.0
Hong Kong,65-,m,0.0
Hong Kong,35-44,m,0.0
Hong Kong,45-54,m,0.0
Hong Kong,18-24,m,0.0
Hong Kong,13-17,m,0.0
