Country,Viewer Age Group,Viewer Gender,Viewer Percent
Hong Kong,25-34,m,100.0
India,25-34,m,100.0
Hong Kong,55-64,f,0.0
Hong Kong,65-,f,0.0
Hong Kong,25-34,f,0.0
Hong Kong,55-64,m,0.0
Hong Kong,45-54,f,0.0
Hong Kong,35-44,f,0.0
Hong Kong,18-24,f,0.0
Hong Kong,65-,m,0.0
Hong Kong,35-44,m,0.0
Hong Kong,45-54,m,0.0
Hong Kong,18-24,m,0.0
Hong Kong,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Thailand,55-64,f,0.0
Thailand,65-,f,0.0
Thailand,25-34,m,0.0
Thailand,25-34,f,0.0
Thailand,55-64,m,0.0
Thailand,45-54,f,0.0
Thailand,35-44,f,0.0
Thailand,18-24,f,0.0
Thailand,65-,m,0.0
Thailand,35-44,m,0.0
Thailand,45-54,m,0.0
Thailand,18-24,m,0.0
Thailand,13-17,m,0.0
Switzerland,55-64,f,0.0
Switzerland,65-,f,0.0
Switzerland,25-34,m,0.0
Switzerland,25-34,f,0.0
Switzerland,55-64,m,0.0
Switzerland,45-54,f,0.0
Switzerland,35-44,f,0.0
Switzerland,18-24,f,0.0
Switzerland,65-,m,0.0
Switzerland,35-44,m,0.0
Switzerland,45-54,m,0.0
Switzerland,18-24,m,0.0
Switzerland,13-17,m,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,25-34,m,0.0
United States,25-34,f,0.0
United States,55-64,m,0.0
United States,45-54,f,0.0
United States,35-44,f,0.0
United States,18-24,f,0.0
United States,65-,m,0.0
United States,35-44,m,0.0
United States,45-54,m,0.0
United States,18-24,m,0.0
United States,13-17,m,0.0
Czech Republic,55-64,f,0.0
Czech Republic,65-,f,0.0
Czech Republic,25-34,m,0.0
Czech Republic,25-34,f,0.0
Czech Republic,55-64,m,0.0
Czech Republic,45-54,f,0.0
Czech Republic,35-44,f,0.0
Czech Republic,18-24,f,0.0
Czech Republic,65-,m,0.0
Czech Republic,35-44,m,0.0
Czech Republic,45-54,m,0.0
Czech Republic,18-24,m,0.0
Czech Republic,13-17,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,m,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,18-24,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,45-54,m,0.0
Vietnam,18-24,m,0.0
Vietnam,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Hungary,55-64,f,0.0
Hungary,65-,f,0.0
Hungary,25-34,m,0.0
Hungary,25-34,f,0.0
Hungary,55-64,m,0.0
Hungary,45-54,f,0.0
Hungary,35-44,f,0.0
Hungary,18-24,f,0.0
Hungary,65-,m,0.0
Hungary,35-44,m,0.0
Hungary,45-54,m,0.0
Hungary,18-24,m,0.0
Hungary,13-17,m,0.0
