Country,Viewer Age Group,Viewer Gender,Viewer Percent
Thailand,13-17,f,24.0
Thailand,13-17,m,23.9
Thailand,45-54,m,10.5
Thailand,25-34,m,9.6
Thailand,18-24,f,9.0
Thailand,35-44,m,8.2
Thailand,55-64,m,6.3
Thailand,18-24,m,5.2
Thailand,25-34,f,3.3
Thailand,55-64,f,0.0
Thailand,65-,f,0.0
Thailand,45-54,f,0.0
Thailand,35-44,f,0.0
Thailand,65-,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,m,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,18-24,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,45-54,m,0.0
Vietnam,18-24,m,0.0
Vietnam,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,m,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,25-34,m,0.0
Malaysia,25-34,f,0.0
Malaysia,55-64,m,0.0
Malaysia,45-54,f,0.0
Malaysia,35-44,f,0.0
Malaysia,18-24,f,0.0
Malaysia,65-,m,0.0
Malaysia,35-44,m,0.0
Malaysia,45-54,m,0.0
Malaysia,18-24,m,0.0
Malaysia,13-17,m,0.0
Singapore,55-64,f,0.0
Singapore,65-,f,0.0
Singapore,25-34,m,0.0
Singapore,25-34,f,0.0
Singapore,55-64,m,0.0
Singapore,45-54,f,0.0
Singapore,35-44,f,0.0
Singapore,18-24,f,0.0
Singapore,65-,m,0.0
Singapore,35-44,m,0.0
Singapore,45-54,m,0.0
Singapore,18-24,m,0.0
Singapore,13-17,m,0.0
Australia,55-64,f,0.0
Australia,65-,f,0.0
Australia,25-34,m,0.0
Australia,25-34,f,0.0
Australia,55-64,m,0.0
Australia,45-54,f,0.0
Australia,35-44,f,0.0
Australia,18-24,f,0.0
Australia,65-,m,0.0
Australia,35-44,m,0.0
Australia,45-54,m,0.0
Australia,18-24,m,0.0
Australia,13-17,m,0.0
United Arab Emirates,55-64,f,0.0
United Arab Emirates,65-,f,0.0
United Arab Emirates,25-34,m,0.0
United Arab Emirates,25-34,f,0.0
United Arab Emirates,55-64,m,0.0
United Arab Emirates,45-54,f,0.0
United Arab Emirates,35-44,f,0.0
United Arab Emirates,18-24,f,0.0
United Arab Emirates,65-,m,0.0
United Arab Emirates,35-44,m,0.0
United Arab Emirates,45-54,m,0.0
United Arab Emirates,18-24,m,0.0
United Arab Emirates,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
Kuwait,55-64,f,0.0
Kuwait,65-,f,0.0
Kuwait,25-34,m,0.0
Kuwait,25-34,f,0.0
Kuwait,55-64,m,0.0
Kuwait,45-54,f,0.0
Kuwait,35-44,f,0.0
Kuwait,18-24,f,0.0
Kuwait,65-,m,0.0
Kuwait,35-44,m,0.0
Kuwait,45-54,m,0.0
Kuwait,18-24,m,0.0
Kuwait,13-17,m,0.0
