Country,Viewer Age Group,Viewer Gender,Viewer Percent
Indonesia,25-34,m,69.0
United States,35-44,m,37.2
Bulgaria,45-54,m,32.3
Vietnam,25-34,m,30.2
Vietnam,45-54,m,21.1
United States,45-54,m,20.5
Bulgaria,18-24,m,15.9
Indonesia,13-17,m,15.6
Indonesia,18-24,m,15.4
Vietnam,25-34,f,14.8
Vietnam,18-24,m,14.3
Bulgaria,25-34,f,13.5
Bulgaria,18-24,f,13.4
Bulgaria,35-44,m,12.5
Bulgaria,25-34,m,12.3
Vietnam,18-24,f,11.4
United States,45-54,f,10.0
United States,55-64,m,8.2
Vietnam,35-44,m,8.2
United States,25-34,m,7.8
United States,18-24,m,7.2
United States,13-17,m,4.1
United States,18-24,f,2.7
United States,25-34,f,2.2
United States,55-64,f,0.0
United States,65-,f,0.0
United States,35-44,f,0.0
United States,65-,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,13-17,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,25-34,m,0.0
Italy,25-34,f,0.0
Italy,55-64,m,0.0
Italy,45-54,f,0.0
Italy,35-44,f,0.0
Italy,18-24,f,0.0
Italy,65-,m,0.0
Italy,35-44,m,0.0
Italy,45-54,m,0.0
Italy,18-24,m,0.0
Italy,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
Bulgaria,55-64,f,0.0
Bulgaria,65-,f,0.0
Bulgaria,55-64,m,0.0
Bulgaria,45-54,f,0.0
Bulgaria,35-44,f,0.0
Bulgaria,65-,m,0.0
Bulgaria,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,25-34,m,0.0
Philippines,25-34,f,0.0
Philippines,55-64,m,0.0
Philippines,45-54,f,0.0
Philippines,35-44,f,0.0
Philippines,18-24,f,0.0
Philippines,65-,m,0.0
Philippines,35-44,m,0.0
Philippines,45-54,m,0.0
Philippines,18-24,m,0.0
Philippines,13-17,m,0.0
Germany,55-64,f,0.0
Germany,65-,f,0.0
Germany,25-34,m,0.0
Germany,25-34,f,0.0
Germany,55-64,m,0.0
Germany,45-54,f,0.0
Germany,35-44,f,0.0
Germany,18-24,f,0.0
Germany,65-,m,0.0
Germany,35-44,m,0.0
Germany,45-54,m,0.0
Germany,18-24,m,0.0
Germany,13-17,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,25-34,m,0.0
Taiwan,25-34,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,35-44,f,0.0
Taiwan,18-24,f,0.0
Taiwan,65-,m,0.0
Taiwan,35-44,m,0.0
Taiwan,45-54,m,0.0
Taiwan,18-24,m,0.0
Taiwan,13-17,m,0.0
Netherlands,55-64,f,0.0
Netherlands,65-,f,0.0
Netherlands,25-34,m,0.0
Netherlands,25-34,f,0.0
Netherlands,55-64,m,0.0
Netherlands,45-54,f,0.0
Netherlands,35-44,f,0.0
Netherlands,18-24,f,0.0
Netherlands,65-,m,0.0
Netherlands,35-44,m,0.0
Netherlands,45-54,m,0.0
Netherlands,18-24,m,0.0
Netherlands,13-17,m,0.0
