Country,Viewer Age Group,Viewer Gender,Viewer Percent
Vietnam,13-17,f,44.2
Malaysia,25-34,m,33.8
Thailand,13-17,f,23.8
Vietnam,18-24,m,22.7
Malaysia,13-17,f,22.4
Thailand,45-54,f,20.4
Vietnam,25-34,m,18.5
Thailand,45-54,m,13.9
Thailand,13-17,m,12.6
Malaysia,35-44,m,10.2
Thailand,55-64,f,8.1
Malaysia,13-17,m,7.9
Vietnam,25-34,f,7.6
Malaysia,35-44,f,7.5
Malaysia,18-24,m,7.3
Vietnam,18-24,f,7.0
Malaysia,18-24,f,6.1
Thailand,25-34,m,4.9
Thailand,18-24,m,4.9
Malaysia,25-34,f,4.8
Thailand,25-34,f,4.1
Thailand,18-24,f,3.6
Thailand,35-44,m,3.6
Thailand,65-,f,0.0
Thailand,55-64,m,0.0
Thailand,35-44,f,0.0
Thailand,65-,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,45-54,m,0.0
Vietnam,13-17,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,55-64,m,0.0
Malaysia,45-54,f,0.0
Malaysia,65-,m,0.0
Malaysia,45-54,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,m,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Singapore,55-64,f,0.0
Singapore,65-,f,0.0
Singapore,25-34,m,0.0
Singapore,25-34,f,0.0
Singapore,55-64,m,0.0
Singapore,45-54,f,0.0
Singapore,35-44,f,0.0
Singapore,18-24,f,0.0
Singapore,65-,m,0.0
Singapore,35-44,m,0.0
Singapore,45-54,m,0.0
Singapore,18-24,m,0.0
Singapore,13-17,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,25-34,m,0.0
Philippines,25-34,f,0.0
Philippines,55-64,m,0.0
Philippines,45-54,f,0.0
Philippines,35-44,f,0.0
Philippines,18-24,f,0.0
Philippines,65-,m,0.0
Philippines,35-44,m,0.0
Philippines,45-54,m,0.0
Philippines,18-24,m,0.0
Philippines,13-17,m,0.0
_unknown_,55-64,f,0.0
_unknown_,65-,f,0.0
_unknown_,25-34,m,0.0
_unknown_,25-34,f,0.0
_unknown_,55-64,m,0.0
_unknown_,45-54,f,0.0
_unknown_,35-44,f,0.0
_unknown_,18-24,f,0.0
_unknown_,65-,m,0.0
_unknown_,35-44,m,0.0
_unknown_,45-54,m,0.0
_unknown_,18-24,m,0.0
_unknown_,13-17,m,0.0
South Korea,55-64,f,0.0
South Korea,65-,f,0.0
South Korea,25-34,m,0.0
South Korea,25-34,f,0.0
South Korea,55-64,m,0.0
South Korea,45-54,f,0.0
South Korea,35-44,f,0.0
South Korea,18-24,f,0.0
South Korea,65-,m,0.0
South Korea,35-44,m,0.0
South Korea,45-54,m,0.0
South Korea,18-24,m,0.0
South Korea,13-17,m,0.0
Hungary,55-64,f,0.0
Hungary,65-,f,0.0
Hungary,25-34,m,0.0
Hungary,25-34,f,0.0
Hungary,55-64,m,0.0
Hungary,45-54,f,0.0
Hungary,35-44,f,0.0
Hungary,18-24,f,0.0
Hungary,65-,m,0.0
Hungary,35-44,m,0.0
Hungary,45-54,m,0.0
Hungary,18-24,m,0.0
Hungary,13-17,m,0.0
