Country,Viewer Age Group,Viewer Gender,Viewer Percent
India,45-54,m,37.6
Vietnam,13-17,m,26.6
Thailand,55-64,m,24.8
India,35-44,m,23.3
Vietnam,45-54,m,22.0
Vietnam,18-24,m,19.0
Thailand,25-34,m,14.8
Thailand,13-17,f,14.7
Vietnam,25-34,m,12.6
Thailand,13-17,m,12.5
India,25-34,m,10.8
Vietnam,18-24,f,10.2
Thailand,35-44,m,10.0
Vietnam,25-34,f,9.5
India,55-64,m,9.0
India,18-24,m,7.9
India,25-34,f,6.3
Thailand,35-44,f,5.9
Thailand,18-24,m,5.4
Thailand,45-54,m,5.2
India,18-24,f,5.2
Thailand,18-24,f,3.7
Thailand,25-34,f,2.9
Thailand,55-64,f,0.0
Thailand,65-,f,0.0
Thailand,45-54,f,0.0
Thailand,65-,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,25-34,m,0.0
Malaysia,25-34,f,0.0
Malaysia,55-64,m,0.0
Malaysia,45-54,f,0.0
Malaysia,35-44,f,0.0
Malaysia,18-24,f,0.0
Malaysia,65-,m,0.0
Malaysia,35-44,m,0.0
Malaysia,45-54,m,0.0
Malaysia,18-24,m,0.0
Malaysia,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,65-,m,0.0
India,13-17,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,25-34,m,0.0
Taiwan,25-34,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,35-44,f,0.0
Taiwan,18-24,f,0.0
Taiwan,65-,m,0.0
Taiwan,35-44,m,0.0
Taiwan,45-54,m,0.0
Taiwan,18-24,m,0.0
Taiwan,13-17,m,0.0
Singapore,55-64,f,0.0
Singapore,65-,f,0.0
Singapore,25-34,m,0.0
Singapore,25-34,f,0.0
Singapore,55-64,m,0.0
Singapore,45-54,f,0.0
Singapore,35-44,f,0.0
Singapore,18-24,f,0.0
Singapore,65-,m,0.0
Singapore,35-44,m,0.0
Singapore,45-54,m,0.0
Singapore,18-24,m,0.0
Singapore,13-17,m,0.0
Czech Republic,55-64,f,0.0
Czech Republic,65-,f,0.0
Czech Republic,25-34,m,0.0
Czech Republic,25-34,f,0.0
Czech Republic,55-64,m,0.0
Czech Republic,45-54,f,0.0
Czech Republic,35-44,f,0.0
Czech Republic,18-24,f,0.0
Czech Republic,65-,m,0.0
Czech Republic,35-44,m,0.0
Czech Republic,45-54,m,0.0
Czech Republic,18-24,m,0.0
Czech Republic,13-17,m,0.0
Saudi Arabia,55-64,f,0.0
Saudi Arabia,65-,f,0.0
Saudi Arabia,25-34,m,0.0
Saudi Arabia,25-34,f,0.0
Saudi Arabia,55-64,m,0.0
Saudi Arabia,45-54,f,0.0
Saudi Arabia,35-44,f,0.0
Saudi Arabia,18-24,f,0.0
Saudi Arabia,65-,m,0.0
Saudi Arabia,35-44,m,0.0
Saudi Arabia,45-54,m,0.0
Saudi Arabia,18-24,m,0.0
Saudi Arabia,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
