Country,Viewer Age Group,Viewer Gender,Viewer Percent
Vietnam,13-17,m,36.0
Vietnam,35-44,m,23.1
Thailand,18-24,m,17.1
Thailand,25-34,m,16.4
Thailand,13-17,m,15.9
Vietnam,25-34,m,13.8
Thailand,13-17,f,13.6
Thailand,35-44,m,11.1
Vietnam,55-64,m,10.2
Thailand,25-34,f,10.0
Thailand,18-24,f,8.2
Vietnam,18-24,m,7.9
Thailand,35-44,f,5.4
Vietnam,35-44,f,4.8
Vietnam,18-24,f,4.3
Thailand,65-,f,2.3
Thailand,55-64,f,0.0
Thailand,55-64,m,0.0
Thailand,45-54,f,0.0
Thailand,65-,m,0.0
Thailand,45-54,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,f,0.0
Vietnam,45-54,f,0.0
Vietnam,65-,m,0.0
Vietnam,45-54,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,25-34,m,0.0
Malaysia,25-34,f,0.0
Malaysia,55-64,m,0.0
Malaysia,45-54,f,0.0
Malaysia,35-44,f,0.0
Malaysia,18-24,f,0.0
Malaysia,65-,m,0.0
Malaysia,35-44,m,0.0
Malaysia,45-54,m,0.0
Malaysia,18-24,m,0.0
Malaysia,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,m,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,25-34,m,0.0
Philippines,25-34,f,0.0
Philippines,55-64,m,0.0
Philippines,45-54,f,0.0
Philippines,35-44,f,0.0
Philippines,18-24,f,0.0
Philippines,65-,m,0.0
Philippines,35-44,m,0.0
Philippines,45-54,m,0.0
Philippines,18-24,m,0.0
Philippines,13-17,m,0.0
Singapore,55-64,f,0.0
Singapore,65-,f,0.0
Singapore,25-34,m,0.0
Singapore,25-34,f,0.0
Singapore,55-64,m,0.0
Singapore,45-54,f,0.0
Singapore,35-44,f,0.0
Singapore,18-24,f,0.0
Singapore,65-,m,0.0
Singapore,35-44,m,0.0
Singapore,45-54,m,0.0
Singapore,18-24,m,0.0
Singapore,13-17,m,0.0
Finland,55-64,f,0.0
Finland,65-,f,0.0
Finland,25-34,m,0.0
Finland,25-34,f,0.0
Finland,55-64,m,0.0
Finland,45-54,f,0.0
Finland,35-44,f,0.0
Finland,18-24,f,0.0
Finland,65-,m,0.0
Finland,35-44,m,0.0
Finland,45-54,m,0.0
Finland,18-24,m,0.0
Finland,13-17,m,0.0
Australia,55-64,f,0.0
Australia,65-,f,0.0
Australia,25-34,m,0.0
Australia,25-34,f,0.0
Australia,55-64,m,0.0
Australia,45-54,f,0.0
Australia,35-44,f,0.0
Australia,18-24,f,0.0
Australia,65-,m,0.0
Australia,35-44,m,0.0
Australia,45-54,m,0.0
Australia,18-24,m,0.0
Australia,13-17,m,0.0
Sri Lanka,55-64,f,0.0
Sri Lanka,65-,f,0.0
Sri Lanka,25-34,m,0.0
Sri Lanka,25-34,f,0.0
Sri Lanka,55-64,m,0.0
Sri Lanka,45-54,f,0.0
Sri Lanka,35-44,f,0.0
Sri Lanka,18-24,f,0.0
Sri Lanka,65-,m,0.0
Sri Lanka,35-44,m,0.0
Sri Lanka,45-54,m,0.0
Sri Lanka,18-24,m,0.0
Sri Lanka,13-17,m,0.0
