Country,Viewer Age Group,Viewer Gender,Viewer Percent
Bulgaria,45-54,f,45.8
Indonesia,35-44,m,44.7
France,13-17,m,44.6
Vietnam,25-34,m,34.2
Indonesia,25-34,m,33.0
United States,35-44,m,31.5
Italy,35-44,m,29.0
Vietnam,45-54,m,25.6
Italy,45-54,m,25.0
France,35-44,m,21.5
Vietnam,18-24,m,18.9
Bulgaria,45-54,m,15.6
Vietnam,25-34,f,14.3
Italy,25-34,m,14.3
Indonesia,18-24,m,14.2
United States,35-44,f,13.9
France,18-24,m,12.5
France,25-34,m,12.3
Italy,18-24,f,12.0
United States,45-54,f,11.9
Italy,25-34,f,10.5
United States,25-34,m,9.3
Italy,18-24,m,9.2
France,18-24,f,9.1
Bulgaria,35-44,m,9.1
Bulgaria,25-34,m,8.2
United States,45-54,m,8.1
Indonesia,25-34,f,8.1
Bulgaria,13-17,m,7.6
Bulgaria,25-34,f,7.4
Vietnam,18-24,f,6.9
United States,25-34,f,6.8
Bulgaria,18-24,m,6.3
United States,18-24,m,5.5
United States,65-,m,5.4
United States,13-17,f,4.6
United States,18-24,f,2.9
United States,55-64,f,0.0
United States,65-,f,0.0
United States,55-64,m,0.0
United States,13-17,m,0.0
France,55-64,f,0.0
France,65-,f,0.0
France,25-34,f,0.0
France,55-64,m,0.0
France,45-54,f,0.0
France,35-44,f,0.0
France,65-,m,0.0
France,45-54,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,45-54,m,0.0
Indonesia,13-17,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,13-17,m,0.0
Bulgaria,55-64,f,0.0
Bulgaria,65-,f,0.0
Bulgaria,55-64,m,0.0
Bulgaria,35-44,f,0.0
Bulgaria,18-24,f,0.0
Bulgaria,65-,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,55-64,m,0.0
Italy,45-54,f,0.0
Italy,35-44,f,0.0
Italy,65-,m,0.0
Italy,13-17,m,0.0
Romania,55-64,f,0.0
Romania,65-,f,0.0
Romania,25-34,m,0.0
Romania,25-34,f,0.0
Romania,55-64,m,0.0
Romania,45-54,f,0.0
Romania,35-44,f,0.0
Romania,18-24,f,0.0
Romania,65-,m,0.0
Romania,35-44,m,0.0
Romania,45-54,m,0.0
Romania,18-24,m,0.0
Romania,13-17,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,25-34,m,0.0
Taiwan,25-34,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,35-44,f,0.0
Taiwan,18-24,f,0.0
Taiwan,65-,m,0.0
Taiwan,35-44,m,0.0
Taiwan,45-54,m,0.0
Taiwan,18-24,m,0.0
Taiwan,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
Germany,55-64,f,0.0
Germany,65-,f,0.0
Germany,25-34,m,0.0
Germany,25-34,f,0.0
Germany,55-64,m,0.0
Germany,45-54,f,0.0
Germany,35-44,f,0.0
Germany,18-24,f,0.0
Germany,65-,m,0.0
Germany,35-44,m,0.0
Germany,45-54,m,0.0
Germany,18-24,m,0.0
Germany,13-17,m,0.0
