Country,Viewer Age Group,Viewer Gender,Viewer Percent
Indonesia,25-34,m,86.0
United States,45-54,m,52.3
United States,35-44,m,13.5
United States,25-34,m,12.3
United States,18-24,m,12.0
United States,13-17,f,9.9
Indonesia,25-34,f,7.6
Indonesia,18-24,m,6.4
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,13-17,m,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,25-34,f,0.0
United States,55-64,m,0.0
United States,45-54,f,0.0
United States,35-44,f,0.0
United States,18-24,f,0.0
United States,65-,m,0.0
United States,13-17,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,m,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,18-24,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,45-54,m,0.0
Vietnam,18-24,m,0.0
Vietnam,13-17,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,25-34,m,0.0
Italy,25-34,f,0.0
Italy,55-64,m,0.0
Italy,45-54,f,0.0
Italy,35-44,f,0.0
Italy,18-24,f,0.0
Italy,65-,m,0.0
Italy,35-44,m,0.0
Italy,45-54,m,0.0
Italy,18-24,m,0.0
Italy,13-17,m,0.0
Croatia,55-64,f,0.0
Croatia,65-,f,0.0
Croatia,25-34,m,0.0
Croatia,25-34,f,0.0
Croatia,55-64,m,0.0
Croatia,45-54,f,0.0
Croatia,35-44,f,0.0
Croatia,18-24,f,0.0
Croatia,65-,m,0.0
Croatia,35-44,m,0.0
Croatia,45-54,m,0.0
Croatia,18-24,m,0.0
Croatia,13-17,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,25-34,m,0.0
Taiwan,25-34,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,35-44,f,0.0
Taiwan,18-24,f,0.0
Taiwan,65-,m,0.0
Taiwan,35-44,m,0.0
Taiwan,45-54,m,0.0
Taiwan,18-24,m,0.0
Taiwan,13-17,m,0.0
Germany,55-64,f,0.0
Germany,65-,f,0.0
Germany,25-34,m,0.0
Germany,25-34,f,0.0
Germany,55-64,m,0.0
Germany,45-54,f,0.0
Germany,35-44,f,0.0
Germany,18-24,f,0.0
Germany,65-,m,0.0
Germany,35-44,m,0.0
Germany,45-54,m,0.0
Germany,18-24,m,0.0
Germany,13-17,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,25-34,m,0.0
Malaysia,25-34,f,0.0
Malaysia,55-64,m,0.0
Malaysia,45-54,f,0.0
Malaysia,35-44,f,0.0
Malaysia,18-24,f,0.0
Malaysia,65-,m,0.0
Malaysia,35-44,m,0.0
Malaysia,45-54,m,0.0
Malaysia,18-24,m,0.0
Malaysia,13-17,m,0.0
Bulgaria,55-64,f,0.0
Bulgaria,65-,f,0.0
Bulgaria,25-34,m,0.0
Bulgaria,25-34,f,0.0
Bulgaria,55-64,m,0.0
Bulgaria,45-54,f,0.0
Bulgaria,35-44,f,0.0
Bulgaria,18-24,f,0.0
Bulgaria,65-,m,0.0
Bulgaria,35-44,m,0.0
Bulgaria,45-54,m,0.0
Bulgaria,18-24,m,0.0
Bulgaria,13-17,m,0.0
Ukraine,55-64,f,0.0
Ukraine,65-,f,0.0
Ukraine,25-34,m,0.0
Ukraine,25-34,f,0.0
Ukraine,55-64,m,0.0
Ukraine,45-54,f,0.0
Ukraine,35-44,f,0.0
Ukraine,18-24,f,0.0
Ukraine,65-,m,0.0
Ukraine,35-44,m,0.0
Ukraine,45-54,m,0.0
Ukraine,18-24,m,0.0
Ukraine,13-17,m,0.0
