Country,Viewer Age Group,Viewer Gender,Viewer Percent
Singapore,25-34,m,100.0
India,13-17,m,48.8
Malaysia,35-44,m,39.1
Thailand,13-17,m,34.4
Vietnam,13-17,f,25.8
Vietnam,65-,m,22.5
Vietnam,25-34,m,17.3
Thailand,25-34,m,17.2
Malaysia,18-24,f,16.9
India,35-44,m,15.6
Malaysia,45-54,m,14.4
Vietnam,13-17,m,13.7
India,25-34,m,12.9
India,18-24,f,12.7
Vietnam,18-24,m,12.6
Thailand,35-44,m,11.0
India,18-24,m,9.9
Thailand,45-54,m,9.5
Malaysia,18-24,m,8.9
Vietnam,18-24,f,8.2
Malaysia,13-17,f,8.2
Malaysia,25-34,f,7.1
Thailand,18-24,f,6.8
Malaysia,25-34,m,5.5
Thailand,13-17,f,5.4
Thailand,35-44,f,5.4
Thailand,25-34,f,5.2
Thailand,18-24,m,5.2
Thailand,55-64,f,0.0
Thailand,65-,f,0.0
Thailand,55-64,m,0.0
Thailand,45-54,f,0.0
Thailand,65-,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,35-44,m,0.0
Vietnam,45-54,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,55-64,m,0.0
Malaysia,45-54,f,0.0
Malaysia,35-44,f,0.0
Malaysia,65-,m,0.0
Malaysia,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,65-,m,0.0
India,45-54,m,0.0
Singapore,55-64,f,0.0
Singapore,65-,f,0.0
Singapore,25-34,f,0.0
Singapore,55-64,m,0.0
Singapore,45-54,f,0.0
Singapore,35-44,f,0.0
Singapore,18-24,f,0.0
Singapore,65-,m,0.0
Singapore,35-44,m,0.0
Singapore,45-54,m,0.0
Singapore,18-24,m,0.0
Singapore,13-17,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,25-34,m,0.0
Philippines,25-34,f,0.0
Philippines,55-64,m,0.0
Philippines,45-54,f,0.0
Philippines,35-44,f,0.0
Philippines,18-24,f,0.0
Philippines,65-,m,0.0
Philippines,35-44,m,0.0
Philippines,45-54,m,0.0
Philippines,18-24,m,0.0
Philippines,13-17,m,0.0
Canada,55-64,f,0.0
Canada,65-,f,0.0
Canada,25-34,m,0.0
Canada,25-34,f,0.0
Canada,55-64,m,0.0
Canada,45-54,f,0.0
Canada,35-44,f,0.0
Canada,18-24,f,0.0
Canada,65-,m,0.0
Canada,35-44,m,0.0
Canada,45-54,m,0.0
Canada,18-24,m,0.0
Canada,13-17,m,0.0
Ireland,55-64,f,0.0
Ireland,65-,f,0.0
Ireland,25-34,m,0.0
Ireland,25-34,f,0.0
Ireland,55-64,m,0.0
Ireland,45-54,f,0.0
Ireland,35-44,f,0.0
Ireland,18-24,f,0.0
Ireland,65-,m,0.0
Ireland,35-44,m,0.0
Ireland,45-54,m,0.0
Ireland,18-24,m,0.0
Ireland,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
