Country,Viewer Age Group,Viewer Gender,Viewer Percent
India,35-44,m,49.4
Vietnam,25-34,m,23.4
Thailand,13-17,f,23.0
Vietnam,35-44,m,21.1
Malaysia,45-54,m,20.5
Vietnam,18-24,m,20.2
Malaysia,25-34,m,18.5
India,18-24,m,18.3
Malaysia,13-17,f,17.5
Thailand,13-17,m,17.4
Thailand,45-54,m,17.3
India,25-34,m,16.3
India,45-54,m,15.9
Vietnam,13-17,f,15.5
Malaysia,35-44,m,11.9
Thailand,35-44,m,11.2
Vietnam,25-34,f,10.3
Thailand,55-64,f,10.1
Vietnam,18-24,f,9.4
Malaysia,18-24,m,7.6
Malaysia,18-24,f,6.2
Malaysia,13-17,m,6.2
Thailand,25-34,m,6.1
Malaysia,25-34,f,5.8
Malaysia,35-44,f,5.8
Thailand,25-34,f,5.7
Thailand,18-24,m,5.0
Thailand,18-24,f,4.2
Thailand,65-,f,0.0
Thailand,55-64,m,0.0
Thailand,45-54,f,0.0
Thailand,35-44,f,0.0
Thailand,65-,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,45-54,m,0.0
Vietnam,13-17,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,55-64,m,0.0
Malaysia,45-54,f,0.0
Malaysia,65-,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,25-34,m,0.0
Philippines,25-34,f,0.0
Philippines,55-64,m,0.0
Philippines,45-54,f,0.0
Philippines,35-44,f,0.0
Philippines,18-24,f,0.0
Philippines,65-,m,0.0
Philippines,35-44,m,0.0
Philippines,45-54,m,0.0
Philippines,18-24,m,0.0
Philippines,13-17,m,0.0
Singapore,55-64,f,0.0
Singapore,65-,f,0.0
Singapore,25-34,m,0.0
Singapore,25-34,f,0.0
Singapore,55-64,m,0.0
Singapore,45-54,f,0.0
Singapore,35-44,f,0.0
Singapore,18-24,f,0.0
Singapore,65-,m,0.0
Singapore,35-44,m,0.0
Singapore,45-54,m,0.0
Singapore,18-24,m,0.0
Singapore,13-17,m,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,25-34,m,0.0
United States,25-34,f,0.0
United States,55-64,m,0.0
United States,45-54,f,0.0
United States,35-44,f,0.0
United States,18-24,f,0.0
United States,65-,m,0.0
United States,35-44,m,0.0
United States,45-54,m,0.0
United States,18-24,m,0.0
United States,13-17,m,0.0
Hungary,55-64,f,0.0
Hungary,65-,f,0.0
Hungary,25-34,m,0.0
Hungary,25-34,f,0.0
Hungary,55-64,m,0.0
Hungary,45-54,f,0.0
Hungary,35-44,f,0.0
Hungary,18-24,f,0.0
Hungary,65-,m,0.0
Hungary,35-44,m,0.0
Hungary,45-54,m,0.0
Hungary,18-24,m,0.0
Hungary,13-17,m,0.0
Israel,55-64,f,0.0
Israel,65-,f,0.0
Israel,25-34,m,0.0
Israel,25-34,f,0.0
Israel,55-64,m,0.0
Israel,45-54,f,0.0
Israel,35-44,f,0.0
Israel,18-24,f,0.0
Israel,65-,m,0.0
Israel,35-44,m,0.0
Israel,45-54,m,0.0
Israel,18-24,m,0.0
Israel,13-17,m,0.0
