Country,Viewer Age Group,Viewer Gender,Viewer Percent
Vietnam,25-34,m,42.1
Italy,45-54,m,38.9
Philippines,25-34,m,37.3
United States,45-54,m,29.9
Philippines,45-54,f,19.8
Italy,35-44,m,18.8
Vietnam,18-24,m,18.6
Vietnam,35-44,m,18.0
United States,35-44,f,13.6
Vietnam,25-34,f,13.0
Italy,25-34,m,13.0
Philippines,18-24,m,12.5
Philippines,13-17,m,12.2
United States,25-34,m,12.0
United States,35-44,m,9.3
United States,13-17,m,9.0
Italy,25-34,f,8.9
United States,45-54,f,8.8
Vietnam,18-24,f,8.4
Italy,18-24,f,7.5
Italy,18-24,m,7.4
Philippines,18-24,f,7.3
United States,55-64,m,7.2
Philippines,25-34,f,5.7
Italy,35-44,f,5.5
Philippines,35-44,m,5.2
United States,18-24,m,4.8
United States,25-34,f,3.3
United States,18-24,f,2.2
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,55-64,m,0.0
Philippines,35-44,f,0.0
Philippines,65-,m,0.0
Philippines,45-54,m,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,65-,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,45-54,m,0.0
Vietnam,13-17,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,55-64,m,0.0
Italy,45-54,f,0.0
Italy,65-,m,0.0
Italy,13-17,m,0.0
Germany,55-64,f,0.0
Germany,65-,f,0.0
Germany,25-34,m,0.0
Germany,25-34,f,0.0
Germany,55-64,m,0.0
Germany,45-54,f,0.0
Germany,35-44,f,0.0
Germany,18-24,f,0.0
Germany,65-,m,0.0
Germany,35-44,m,0.0
Germany,45-54,m,0.0
Germany,18-24,m,0.0
Germany,13-17,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,25-34,m,0.0
Taiwan,25-34,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,35-44,f,0.0
Taiwan,18-24,f,0.0
Taiwan,65-,m,0.0
Taiwan,35-44,m,0.0
Taiwan,45-54,m,0.0
Taiwan,18-24,m,0.0
Taiwan,13-17,m,0.0
_unknown_,55-64,f,0.0
_unknown_,65-,f,0.0
_unknown_,25-34,m,0.0
_unknown_,25-34,f,0.0
_unknown_,55-64,m,0.0
_unknown_,45-54,f,0.0
_unknown_,35-44,f,0.0
_unknown_,18-24,f,0.0
_unknown_,65-,m,0.0
_unknown_,35-44,m,0.0
_unknown_,45-54,m,0.0
_unknown_,18-24,m,0.0
_unknown_,13-17,m,0.0
Bulgaria,55-64,f,0.0
Bulgaria,65-,f,0.0
Bulgaria,25-34,m,0.0
Bulgaria,25-34,f,0.0
Bulgaria,55-64,m,0.0
Bulgaria,45-54,f,0.0
Bulgaria,35-44,f,0.0
Bulgaria,18-24,f,0.0
Bulgaria,65-,m,0.0
Bulgaria,35-44,m,0.0
Bulgaria,45-54,m,0.0
Bulgaria,18-24,m,0.0
Bulgaria,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
