Country,Viewer Age Group,Viewer Gender,Viewer Percent
Indonesia,13-17,f,44.9
Vietnam,45-54,f,35.1
Malaysia,35-44,f,25.8
Malaysia,13-17,f,20.1
Thailand,13-17,m,19.9
Thailand,13-17,f,18.8
Malaysia,55-64,m,18.1
Indonesia,35-44,m,17.5
Vietnam,45-54,m,15.9
Vietnam,13-17,f,13.6
Thailand,35-44,m,11.6
Malaysia,45-54,m,10.1
Vietnam,18-24,m,9.3
Thailand,45-54,m,9.0
Indonesia,18-24,m,9.0
Indonesia,25-34,m,8.6
Thailand,25-34,m,8.0
Malaysia,35-44,m,7.8
Thailand,55-64,m,7.2
Vietnam,13-17,m,7.2
Vietnam,25-34,m,6.8
Indonesia,13-17,m,6.8
Indonesia,18-24,f,6.7
Indonesia,35-44,f,6.4
Vietnam,25-34,f,6.0
Vietnam,18-24,f,6.0
Thailand,25-34,f,5.9
Malaysia,25-34,m,5.3
Thailand,35-44,f,5.1
Thailand,18-24,m,5.0
Malaysia,18-24,f,5.0
Thailand,45-54,f,4.4
Malaysia,25-34,f,4.0
Malaysia,18-24,m,3.7
Thailand,65-,m,3.0
Thailand,18-24,f,2.2
Thailand,55-64,f,0.0
Thailand,65-,f,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,55-64,m,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,m,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,45-54,f,0.0
Malaysia,65-,m,0.0
Malaysia,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,65-,m,0.0
Indonesia,45-54,m,0.0
Hong Kong,55-64,f,0.0
Hong Kong,65-,f,0.0
Hong Kong,25-34,m,0.0
Hong Kong,25-34,f,0.0
Hong Kong,55-64,m,0.0
Hong Kong,45-54,f,0.0
Hong Kong,35-44,f,0.0
Hong Kong,18-24,f,0.0
Hong Kong,65-,m,0.0
Hong Kong,35-44,m,0.0
Hong Kong,45-54,m,0.0
Hong Kong,18-24,m,0.0
Hong Kong,13-17,m,0.0
_unknown_,55-64,f,0.0
_unknown_,65-,f,0.0
_unknown_,25-34,m,0.0
_unknown_,25-34,f,0.0
_unknown_,55-64,m,0.0
_unknown_,45-54,f,0.0
_unknown_,35-44,f,0.0
_unknown_,18-24,f,0.0
_unknown_,65-,m,0.0
_unknown_,35-44,m,0.0
_unknown_,45-54,m,0.0
_unknown_,18-24,m,0.0
_unknown_,13-17,m,0.0
Czech Republic,55-64,f,0.0
Czech Republic,65-,f,0.0
Czech Republic,25-34,m,0.0
Czech Republic,25-34,f,0.0
Czech Republic,55-64,m,0.0
Czech Republic,45-54,f,0.0
Czech Republic,35-44,f,0.0
Czech Republic,18-24,f,0.0
Czech Republic,65-,m,0.0
Czech Republic,35-44,m,0.0
Czech Republic,45-54,m,0.0
Czech Republic,18-24,m,0.0
Czech Republic,13-17,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,25-34,m,0.0
Philippines,25-34,f,0.0
Philippines,55-64,m,0.0
Philippines,45-54,f,0.0
Philippines,35-44,f,0.0
Philippines,18-24,f,0.0
Philippines,65-,m,0.0
Philippines,35-44,m,0.0
Philippines,45-54,m,0.0
Philippines,18-24,m,0.0
Philippines,13-17,m,0.0
Australia,55-64,f,0.0
Australia,65-,f,0.0
Australia,25-34,m,0.0
Australia,25-34,f,0.0
Australia,55-64,m,0.0
Australia,45-54,f,0.0
Australia,35-44,f,0.0
Australia,18-24,f,0.0
Australia,65-,m,0.0
Australia,35-44,m,0.0
Australia,45-54,m,0.0
Australia,18-24,m,0.0
Australia,13-17,m,0.0
