Country,Viewer Age Group,Viewer Gender,Viewer Percent
Italy,45-54,m,100.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Argentina,55-64,f,0.0
Argentina,65-,f,0.0
Argentina,25-34,m,0.0
Argentina,25-34,f,0.0
Argentina,55-64,m,0.0
Argentina,45-54,f,0.0
Argentina,35-44,f,0.0
Argentina,18-24,f,0.0
Argentina,65-,m,0.0
Argentina,35-44,m,0.0
Argentina,45-54,m,0.0
Argentina,18-24,m,0.0
Argentina,13-17,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,25-34,m,0.0
Italy,25-34,f,0.0
Italy,55-64,m,0.0
Italy,45-54,f,0.0
Italy,35-44,f,0.0
Italy,18-24,f,0.0
Italy,65-,m,0.0
Italy,35-44,m,0.0
Italy,18-24,m,0.0
Italy,13-17,m,0.0
Puerto Rico,55-64,f,0.0
Puerto Rico,65-,f,0.0
Puerto Rico,25-34,m,0.0
Puerto Rico,25-34,f,0.0
Puerto Rico,55-64,m,0.0
Puerto Rico,45-54,f,0.0
Puerto Rico,35-44,f,0.0
Puerto Rico,18-24,f,0.0
Puerto Rico,65-,m,0.0
Puerto Rico,35-44,m,0.0
Puerto Rico,45-54,m,0.0
Puerto Rico,18-24,m,0.0
Puerto Rico,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
Poland,55-64,f,0.0
Poland,65-,f,0.0
Poland,25-34,m,0.0
Poland,25-34,f,0.0
Poland,55-64,m,0.0
Poland,45-54,f,0.0
Poland,35-44,f,0.0
Poland,18-24,f,0.0
Poland,65-,m,0.0
Poland,35-44,m,0.0
Poland,45-54,m,0.0
Poland,18-24,m,0.0
Poland,13-17,m,0.0
Czech Republic,55-64,f,0.0
Czech Republic,65-,f,0.0
Czech Republic,25-34,m,0.0
Czech Republic,25-34,f,0.0
Czech Republic,55-64,m,0.0
Czech Republic,45-54,f,0.0
Czech Republic,35-44,f,0.0
Czech Republic,18-24,f,0.0
Czech Republic,65-,m,0.0
Czech Republic,35-44,m,0.0
Czech Republic,45-54,m,0.0
Czech Republic,18-24,m,0.0
Czech Republic,13-17,m,0.0
Hungary,55-64,f,0.0
Hungary,65-,f,0.0
Hungary,25-34,m,0.0
Hungary,25-34,f,0.0
Hungary,55-64,m,0.0
Hungary,45-54,f,0.0
Hungary,35-44,f,0.0
Hungary,18-24,f,0.0
Hungary,65-,m,0.0
Hungary,35-44,m,0.0
Hungary,45-54,m,0.0
Hungary,18-24,m,0.0
Hungary,13-17,m,0.0
Israel,55-64,f,0.0
Israel,65-,f,0.0
Israel,25-34,m,0.0
Israel,25-34,f,0.0
Israel,55-64,m,0.0
Israel,45-54,f,0.0
Israel,35-44,f,0.0
Israel,18-24,f,0.0
Israel,65-,m,0.0
Israel,35-44,m,0.0
Israel,45-54,m,0.0
Israel,18-24,m,0.0
Israel,13-17,m,0.0
