Country,Viewer Age Group,Viewer Gender,Viewer Percent
Vietnam,13-17,m,44.3
Thailand,45-54,m,42.5
Malaysia,55-64,m,38.6
Indonesia,45-54,m,35.8
Malaysia,35-44,m,30.0
Vietnam,35-44,f,26.6
Indonesia,18-24,m,25.4
Indonesia,13-17,m,21.7
Indonesia,25-34,m,17.1
Vietnam,35-44,m,11.4
Malaysia,25-34,m,11.1
Malaysia,65-,m,10.7
Thailand,25-34,m,10.4
Vietnam,25-34,m,9.5
Thailand,18-24,f,8.8
Thailand,13-17,m,7.3
Thailand,35-44,m,7.1
Thailand,35-44,f,6.9
Thailand,25-34,f,6.8
Thailand,18-24,m,6.7
Malaysia,25-34,f,5.0
Malaysia,18-24,m,4.7
Vietnam,18-24,m,4.3
Vietnam,18-24,f,3.9
Thailand,13-17,f,3.5
Thailand,55-64,f,0.0
Thailand,65-,f,0.0
Thailand,55-64,m,0.0
Thailand,45-54,f,0.0
Thailand,65-,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,65-,m,0.0
Vietnam,45-54,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,45-54,f,0.0
Malaysia,35-44,f,0.0
Malaysia,18-24,f,0.0
Malaysia,45-54,m,0.0
Malaysia,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,m,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,25-34,m,0.0
Philippines,25-34,f,0.0
Philippines,55-64,m,0.0
Philippines,45-54,f,0.0
Philippines,35-44,f,0.0
Philippines,18-24,f,0.0
Philippines,65-,m,0.0
Philippines,35-44,m,0.0
Philippines,45-54,m,0.0
Philippines,18-24,m,0.0
Philippines,13-17,m,0.0
Singapore,55-64,f,0.0
Singapore,65-,f,0.0
Singapore,25-34,m,0.0
Singapore,25-34,f,0.0
Singapore,55-64,m,0.0
Singapore,45-54,f,0.0
Singapore,35-44,f,0.0
Singapore,18-24,f,0.0
Singapore,65-,m,0.0
Singapore,35-44,m,0.0
Singapore,45-54,m,0.0
Singapore,18-24,m,0.0
Singapore,13-17,m,0.0
Sri Lanka,55-64,f,0.0
Sri Lanka,65-,f,0.0
Sri Lanka,25-34,m,0.0
Sri Lanka,25-34,f,0.0
Sri Lanka,55-64,m,0.0
Sri Lanka,45-54,f,0.0
Sri Lanka,35-44,f,0.0
Sri Lanka,18-24,f,0.0
Sri Lanka,65-,m,0.0
Sri Lanka,35-44,m,0.0
Sri Lanka,45-54,m,0.0
Sri Lanka,18-24,m,0.0
Sri Lanka,13-17,m,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,25-34,m,0.0
United States,25-34,f,0.0
United States,55-64,m,0.0
United States,45-54,f,0.0
United States,35-44,f,0.0
United States,18-24,f,0.0
United States,65-,m,0.0
United States,35-44,m,0.0
United States,45-54,m,0.0
United States,18-24,m,0.0
United States,13-17,m,0.0
