Country,Viewer Age Group,Viewer Gender,Viewer Percent
Indonesia,25-34,m,50.8
Indonesia,18-24,m,49.2
Vietnam,25-34,m,41.3
Vietnam,45-54,m,33.3
United States,45-54,f,28.3
United States,45-54,m,19.3
United States,25-34,m,15.2
United States,35-44,m,14.9
Vietnam,18-24,m,14.4
United States,55-64,m,11.5
Vietnam,18-24,f,11.0
United States,35-44,f,5.5
United States,18-24,m,5.3
United States,55-64,f,0.0
United States,65-,f,0.0
United States,25-34,f,0.0
United States,18-24,f,0.0
United States,65-,m,0.0
United States,13-17,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,13-17,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,25-34,m,0.0
Italy,25-34,f,0.0
Italy,55-64,m,0.0
Italy,45-54,f,0.0
Italy,35-44,f,0.0
Italy,18-24,f,0.0
Italy,65-,m,0.0
Italy,35-44,m,0.0
Italy,45-54,m,0.0
Italy,18-24,m,0.0
Italy,13-17,m,0.0
Czech Republic,55-64,f,0.0
Czech Republic,65-,f,0.0
Czech Republic,25-34,m,0.0
Czech Republic,25-34,f,0.0
Czech Republic,55-64,m,0.0
Czech Republic,45-54,f,0.0
Czech Republic,35-44,f,0.0
Czech Republic,18-24,f,0.0
Czech Republic,65-,m,0.0
Czech Republic,35-44,m,0.0
Czech Republic,45-54,m,0.0
Czech Republic,18-24,m,0.0
Czech Republic,13-17,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,25-34,m,0.0
Taiwan,25-34,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,35-44,f,0.0
Taiwan,18-24,f,0.0
Taiwan,65-,m,0.0
Taiwan,35-44,m,0.0
Taiwan,45-54,m,0.0
Taiwan,18-24,m,0.0
Taiwan,13-17,m,0.0
Germany,55-64,f,0.0
Germany,65-,f,0.0
Germany,25-34,m,0.0
Germany,25-34,f,0.0
Germany,55-64,m,0.0
Germany,45-54,f,0.0
Germany,35-44,f,0.0
Germany,18-24,f,0.0
Germany,65-,m,0.0
Germany,35-44,m,0.0
Germany,45-54,m,0.0
Germany,18-24,m,0.0
Germany,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
Poland,55-64,f,0.0
Poland,65-,f,0.0
Poland,25-34,m,0.0
Poland,25-34,f,0.0
Poland,55-64,m,0.0
Poland,45-54,f,0.0
Poland,35-44,f,0.0
Poland,18-24,f,0.0
Poland,65-,m,0.0
Poland,35-44,m,0.0
Poland,45-54,m,0.0
Poland,18-24,m,0.0
Poland,13-17,m,0.0
Canada,55-64,f,0.0
Canada,65-,f,0.0
Canada,25-34,m,0.0
Canada,25-34,f,0.0
Canada,55-64,m,0.0
Canada,45-54,f,0.0
Canada,35-44,f,0.0
Canada,18-24,f,0.0
Canada,65-,m,0.0
Canada,35-44,m,0.0
Canada,45-54,m,0.0
Canada,18-24,m,0.0
Canada,13-17,m,0.0
