Country,Viewer Age Group,Viewer Gender,Viewer Percent
Singapore,25-34,f,100.0
Thailand,45-54,m,42.6
Vietnam,13-17,m,42.1
Vietnam,35-44,f,31.6
Malaysia,35-44,m,31.0
Malaysia,55-64,m,26.1
Thailand,13-17,m,22.5
Malaysia,13-17,f,12.4
Malaysia,25-34,m,9.7
Malaysia,65-,m,9.7
Thailand,25-34,m,8.1
Vietnam,25-34,m,6.6
Vietnam,18-24,m,6.4
Thailand,35-44,m,6.2
Thailand,35-44,f,6.0
Malaysia,25-34,f,6.0
Malaysia,18-24,m,5.1
Vietnam,35-44,m,4.9
Vietnam,18-24,f,4.3
Vietnam,13-17,f,4.0
Thailand,18-24,f,3.8
Thailand,25-34,f,3.7
Thailand,65-,m,3.7
Thailand,18-24,m,3.3
Thailand,55-64,f,0.0
Thailand,65-,f,0.0
Thailand,55-64,m,0.0
Thailand,45-54,f,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,65-,m,0.0
Vietnam,45-54,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,45-54,f,0.0
Malaysia,35-44,f,0.0
Malaysia,18-24,f,0.0
Malaysia,45-54,m,0.0
Malaysia,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,m,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Philippines,55-64,f,0.0
Philippines,65-,f,0.0
Philippines,25-34,m,0.0
Philippines,25-34,f,0.0
Philippines,55-64,m,0.0
Philippines,45-54,f,0.0
Philippines,35-44,f,0.0
Philippines,18-24,f,0.0
Philippines,65-,m,0.0
Philippines,35-44,m,0.0
Philippines,45-54,m,0.0
Philippines,18-24,m,0.0
Philippines,13-17,m,0.0
Singapore,55-64,f,0.0
Singapore,65-,f,0.0
Singapore,25-34,m,0.0
Singapore,55-64,m,0.0
Singapore,45-54,f,0.0
Singapore,35-44,f,0.0
Singapore,18-24,f,0.0
Singapore,65-,m,0.0
Singapore,35-44,m,0.0
Singapore,45-54,m,0.0
Singapore,18-24,m,0.0
Singapore,13-17,m,0.0
Hungary,55-64,f,0.0
Hungary,65-,f,0.0
Hungary,25-34,m,0.0
Hungary,25-34,f,0.0
Hungary,55-64,m,0.0
Hungary,45-54,f,0.0
Hungary,35-44,f,0.0
Hungary,18-24,f,0.0
Hungary,65-,m,0.0
Hungary,35-44,m,0.0
Hungary,45-54,m,0.0
Hungary,18-24,m,0.0
Hungary,13-17,m,0.0
Israel,55-64,f,0.0
Israel,65-,f,0.0
Israel,25-34,m,0.0
Israel,25-34,f,0.0
Israel,55-64,m,0.0
Israel,45-54,f,0.0
Israel,35-44,f,0.0
Israel,18-24,f,0.0
Israel,65-,m,0.0
Israel,35-44,m,0.0
Israel,45-54,m,0.0
Israel,18-24,m,0.0
Israel,13-17,m,0.0
