Country,Viewer Age Group,Viewer Gender,Viewer Percent
Indonesia,25-34,m,74.1
Taiwan,25-34,m,62.2
Bulgaria,45-54,f,40.6
Vietnam,25-34,m,37.8
France,55-64,m,31.4
Italy,55-64,m,30.3
United States,45-54,m,27.7
Romania,55-64,m,25.1
Romania,35-44,m,24.4
Italy,35-44,m,19.7
Bulgaria,25-34,m,18.5
Vietnam,35-44,m,18.4
Taiwan,35-44,m,18.0
Vietnam,45-54,m,15.8
Vietnam,18-24,m,15.6
France,13-17,m,13.9
Romania,18-24,f,13.9
Indonesia,13-17,m,13.8
United States,35-44,m,13.4
Italy,18-24,m,13.1
Romania,25-34,m,13.1
Italy,45-54,m,12.7
Bulgaria,18-24,m,12.5
Italy,25-34,f,12.2
Italy,25-34,m,12.1
Indonesia,18-24,m,12.1
Romania,35-44,f,11.9
United States,35-44,f,11.8
Romania,18-24,m,11.6
France,35-44,f,11.2
United States,25-34,m,11.2
Bulgaria,13-17,m,11.2
France,35-44,m,10.2
United States,45-54,f,10.2
Taiwan,18-24,m,10.0
Taiwan,25-34,f,9.8
France,18-24,m,9.7
France,25-34,m,8.8
United States,55-64,m,8.3
Bulgaria,35-44,m,7.2
France,45-54,m,6.6
Vietnam,25-34,f,6.6
United States,13-17,m,6.3
Vietnam,18-24,f,5.7
Bulgaria,35-44,f,5.2
Bulgaria,25-34,f,4.9
United States,18-24,m,4.3
France,65-,m,4.2
France,18-24,f,4.1
United States,25-34,f,3.9
United States,18-24,f,2.9
France,55-64,f,0.0
France,65-,f,0.0
France,25-34,f,0.0
France,45-54,f,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,65-,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,13-17,m,0.0
Bulgaria,55-64,f,0.0
Bulgaria,65-,f,0.0
Bulgaria,55-64,m,0.0
Bulgaria,18-24,f,0.0
Bulgaria,65-,m,0.0
Bulgaria,45-54,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,35-44,f,0.0
Taiwan,18-24,f,0.0
Taiwan,65-,m,0.0
Taiwan,45-54,m,0.0
Taiwan,13-17,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,45-54,f,0.0
Italy,35-44,f,0.0
Italy,18-24,f,0.0
Italy,65-,m,0.0
Italy,13-17,m,0.0
Romania,55-64,f,0.0
Romania,65-,f,0.0
Romania,25-34,f,0.0
Romania,45-54,f,0.0
Romania,65-,m,0.0
Romania,45-54,m,0.0
Romania,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Germany,55-64,f,0.0
Germany,65-,f,0.0
Germany,25-34,m,0.0
Germany,25-34,f,0.0
Germany,55-64,m,0.0
Germany,45-54,f,0.0
Germany,35-44,f,0.0
Germany,18-24,f,0.0
Germany,65-,m,0.0
Germany,35-44,m,0.0
Germany,45-54,m,0.0
Germany,18-24,m,0.0
Germany,13-17,m,0.0
