Country,Viewer Age Group,Viewer Gender,Viewer Percent
Italy,45-54,m,100.0
Argentina,55-64,f,0.0
Argentina,65-,f,0.0
Argentina,25-34,m,0.0
Argentina,25-34,f,0.0
Argentina,55-64,m,0.0
Argentina,45-54,f,0.0
Argentina,35-44,f,0.0
Argentina,18-24,f,0.0
Argentina,65-,m,0.0
Argentina,35-44,m,0.0
Argentina,45-54,m,0.0
Argentina,18-24,m,0.0
Argentina,13-17,m,0.0
Turkey,55-64,f,0.0
Turkey,65-,f,0.0
Turkey,25-34,m,0.0
Turkey,25-34,f,0.0
Turkey,55-64,m,0.0
Turkey,45-54,f,0.0
Turkey,35-44,f,0.0
Turkey,18-24,f,0.0
Turkey,65-,m,0.0
Turkey,35-44,m,0.0
Turkey,45-54,m,0.0
Turkey,18-24,m,0.0
Turkey,13-17,m,0.0
Czech Republic,55-64,f,0.0
Czech Republic,65-,f,0.0
Czech Republic,25-34,m,0.0
Czech Republic,25-34,f,0.0
Czech Republic,55-64,m,0.0
Czech Republic,45-54,f,0.0
Czech Republic,35-44,f,0.0
Czech Republic,18-24,f,0.0
Czech Republic,65-,m,0.0
Czech Republic,35-44,m,0.0
Czech Republic,45-54,m,0.0
Czech Republic,18-24,m,0.0
Czech Republic,13-17,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,25-34,m,0.0
Italy,25-34,f,0.0
Italy,55-64,m,0.0
Italy,45-54,f,0.0
Italy,35-44,f,0.0
Italy,18-24,f,0.0
Italy,65-,m,0.0
Italy,35-44,m,0.0
Italy,18-24,m,0.0
Italy,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,m,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Poland,55-64,f,0.0
Poland,65-,f,0.0
Poland,25-34,m,0.0
Poland,25-34,f,0.0
Poland,55-64,m,0.0
Poland,45-54,f,0.0
Poland,35-44,f,0.0
Poland,18-24,f,0.0
Poland,65-,m,0.0
Poland,35-44,m,0.0
Poland,45-54,m,0.0
Poland,18-24,m,0.0
Poland,13-17,m,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,25-34,m,0.0
United States,25-34,f,0.0
United States,55-64,m,0.0
United States,45-54,f,0.0
United States,35-44,f,0.0
United States,18-24,f,0.0
United States,65-,m,0.0
United States,35-44,m,0.0
United States,45-54,m,0.0
United States,18-24,m,0.0
United States,13-17,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,m,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,18-24,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,45-54,m,0.0
Vietnam,18-24,m,0.0
Vietnam,13-17,m,0.0
Ireland,55-64,f,0.0
Ireland,65-,f,0.0
Ireland,25-34,m,0.0
Ireland,25-34,f,0.0
Ireland,55-64,m,0.0
Ireland,45-54,f,0.0
Ireland,35-44,f,0.0
Ireland,18-24,f,0.0
Ireland,65-,m,0.0
Ireland,35-44,m,0.0
Ireland,45-54,m,0.0
Ireland,18-24,m,0.0
Ireland,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
