Country,Viewer Age Group,Viewer Gender,Viewer Percent
Bulgaria,18-24,m,100.0
Indonesia,25-34,m,80.5
Vietnam,25-34,m,38.3
Vietnam,18-24,m,35.3
United States,55-64,f,26.2
Indonesia,18-24,m,19.5
United States,35-44,m,17.4
Vietnam,25-34,f,16.0
United States,45-54,m,14.9
Vietnam,18-24,f,10.4
United States,13-17,m,9.0
United States,35-44,f,8.5
United States,25-34,m,7.1
United States,18-24,f,6.1
United States,18-24,m,5.5
United States,25-34,f,5.2
United States,65-,f,0.0
United States,55-64,m,0.0
United States,45-54,f,0.0
United States,65-,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,13-17,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,45-54,m,0.0
Vietnam,13-17,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,25-34,m,0.0
Italy,25-34,f,0.0
Italy,55-64,m,0.0
Italy,45-54,f,0.0
Italy,35-44,f,0.0
Italy,18-24,f,0.0
Italy,65-,m,0.0
Italy,35-44,m,0.0
Italy,45-54,m,0.0
Italy,18-24,m,0.0
Italy,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
Czech Republic,55-64,f,0.0
Czech Republic,65-,f,0.0
Czech Republic,25-34,m,0.0
Czech Republic,25-34,f,0.0
Czech Republic,55-64,m,0.0
Czech Republic,45-54,f,0.0
Czech Republic,35-44,f,0.0
Czech Republic,18-24,f,0.0
Czech Republic,65-,m,0.0
Czech Republic,35-44,m,0.0
Czech Republic,45-54,m,0.0
Czech Republic,18-24,m,0.0
Czech Republic,13-17,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,25-34,m,0.0
Taiwan,25-34,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,35-44,f,0.0
Taiwan,18-24,f,0.0
Taiwan,65-,m,0.0
Taiwan,35-44,m,0.0
Taiwan,45-54,m,0.0
Taiwan,18-24,m,0.0
Taiwan,13-17,m,0.0
Ukraine,55-64,f,0.0
Ukraine,65-,f,0.0
Ukraine,25-34,m,0.0
Ukraine,25-34,f,0.0
Ukraine,55-64,m,0.0
Ukraine,45-54,f,0.0
Ukraine,35-44,f,0.0
Ukraine,18-24,f,0.0
Ukraine,65-,m,0.0
Ukraine,35-44,m,0.0
Ukraine,45-54,m,0.0
Ukraine,18-24,m,0.0
Ukraine,13-17,m,0.0
Germany,55-64,f,0.0
Germany,65-,f,0.0
Germany,25-34,m,0.0
Germany,25-34,f,0.0
Germany,55-64,m,0.0
Germany,45-54,f,0.0
Germany,35-44,f,0.0
Germany,18-24,f,0.0
Germany,65-,m,0.0
Germany,35-44,m,0.0
Germany,45-54,m,0.0
Germany,18-24,m,0.0
Germany,13-17,m,0.0
Bulgaria,55-64,f,0.0
Bulgaria,65-,f,0.0
Bulgaria,25-34,m,0.0
Bulgaria,25-34,f,0.0
Bulgaria,55-64,m,0.0
Bulgaria,45-54,f,0.0
Bulgaria,35-44,f,0.0
Bulgaria,18-24,f,0.0
Bulgaria,65-,m,0.0
Bulgaria,35-44,m,0.0
Bulgaria,45-54,m,0.0
Bulgaria,13-17,m,0.0
