Country,Viewer Age Group,Viewer Gender,Viewer Percent
Indonesia,35-44,m,67.3
Bulgaria,45-54,m,38.3
Taiwan,25-34,m,31.1
Taiwan,35-44,m,29.1
France,35-44,m,23.6
United States,25-34,f,22.6
Bulgaria,45-54,f,18.7
United States,25-34,m,18.0
Indonesia,25-34,m,16.6
United States,13-17,m,16.3
Indonesia,18-24,m,16.1
United States,35-44,f,15.3
Bulgaria,35-44,m,14.9
France,13-17,m,14.7
France,55-64,m,14.6
Taiwan,35-44,f,14.2
Taiwan,18-24,f,14.1
France,45-54,m,12.2
Taiwan,18-24,m,11.4
Bulgaria,25-34,m,11.0
United States,35-44,m,10.5
Bulgaria,18-24,m,9.4
United States,65-,m,9.0
France,18-24,m,8.6
United States,18-24,m,8.3
France,25-34,m,8.1
Bulgaria,25-34,f,7.7
France,25-34,f,4.1
France,65-,m,3.8
France,13-17,f,3.5
France,35-44,f,3.5
France,18-24,f,3.4
France,55-64,f,0.0
France,65-,f,0.0
France,45-54,f,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,55-64,m,0.0
United States,45-54,f,0.0
United States,18-24,f,0.0
United States,45-54,m,0.0
Bulgaria,55-64,f,0.0
Bulgaria,65-,f,0.0
Bulgaria,55-64,m,0.0
Bulgaria,35-44,f,0.0
Bulgaria,18-24,f,0.0
Bulgaria,65-,m,0.0
Bulgaria,13-17,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,25-34,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,65-,m,0.0
Taiwan,45-54,m,0.0
Taiwan,13-17,m,0.0
Germany,55-64,f,0.0
Germany,65-,f,0.0
Germany,25-34,m,0.0
Germany,25-34,f,0.0
Germany,55-64,m,0.0
Germany,45-54,f,0.0
Germany,35-44,f,0.0
Germany,18-24,f,0.0
Germany,65-,m,0.0
Germany,35-44,m,0.0
Germany,45-54,m,0.0
Germany,18-24,m,0.0
Germany,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,45-54,m,0.0
Indonesia,13-17,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,m,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,18-24,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,45-54,m,0.0
Vietnam,18-24,m,0.0
Vietnam,13-17,m,0.0
India,55-64,f,0.0
India,65-,f,0.0
India,25-34,m,0.0
India,25-34,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,35-44,m,0.0
India,45-54,m,0.0
India,18-24,m,0.0
India,13-17,m,0.0
Belgium,55-64,f,0.0
Belgium,65-,f,0.0
Belgium,25-34,m,0.0
Belgium,25-34,f,0.0
Belgium,55-64,m,0.0
Belgium,45-54,f,0.0
Belgium,35-44,f,0.0
Belgium,18-24,f,0.0
Belgium,65-,m,0.0
Belgium,35-44,m,0.0
Belgium,45-54,m,0.0
Belgium,18-24,m,0.0
Belgium,13-17,m,0.0
Romania,55-64,f,0.0
Romania,65-,f,0.0
Romania,25-34,m,0.0
Romania,25-34,f,0.0
Romania,55-64,m,0.0
Romania,45-54,f,0.0
Romania,35-44,f,0.0
Romania,18-24,f,0.0
Romania,65-,m,0.0
Romania,35-44,m,0.0
Romania,45-54,m,0.0
Romania,18-24,m,0.0
Romania,13-17,m,0.0
