Country,Viewer Age Group,Viewer Gender,Viewer Percent
Indonesia,25-34,m,100.0
Norway,45-54,m,100.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,25-34,m,0.0
United States,25-34,f,0.0
United States,55-64,m,0.0
United States,45-54,f,0.0
United States,35-44,f,0.0
United States,18-24,f,0.0
United States,65-,m,0.0
United States,35-44,m,0.0
United States,45-54,m,0.0
United States,18-24,m,0.0
United States,13-17,m,0.0
Norway,55-64,f,0.0
Norway,65-,f,0.0
Norway,25-34,m,0.0
Norway,25-34,f,0.0
Norway,55-64,m,0.0
Norway,45-54,f,0.0
Norway,35-44,f,0.0
Norway,18-24,f,0.0
Norway,65-,m,0.0
Norway,35-44,m,0.0
Norway,18-24,m,0.0
Norway,13-17,m,0.0
Germany,55-64,f,0.0
Germany,65-,f,0.0
Germany,25-34,m,0.0
Germany,25-34,f,0.0
Germany,55-64,m,0.0
Germany,45-54,f,0.0
Germany,35-44,f,0.0
Germany,18-24,f,0.0
Germany,65-,m,0.0
Germany,35-44,m,0.0
Germany,45-54,m,0.0
Germany,18-24,m,0.0
Germany,13-17,m,0.0
Morocco,55-64,f,0.0
Morocco,65-,f,0.0
Morocco,25-34,m,0.0
Morocco,25-34,f,0.0
Morocco,55-64,m,0.0
Morocco,45-54,f,0.0
Morocco,35-44,f,0.0
Morocco,18-24,f,0.0
Morocco,65-,m,0.0
Morocco,35-44,m,0.0
Morocco,45-54,m,0.0
Morocco,18-24,m,0.0
Morocco,13-17,m,0.0
Pakistan,55-64,f,0.0
Pakistan,65-,f,0.0
Pakistan,25-34,m,0.0
Pakistan,25-34,f,0.0
Pakistan,55-64,m,0.0
Pakistan,45-54,f,0.0
Pakistan,35-44,f,0.0
Pakistan,18-24,f,0.0
Pakistan,65-,m,0.0
Pakistan,35-44,m,0.0
Pakistan,45-54,m,0.0
Pakistan,18-24,m,0.0
Pakistan,13-17,m,0.0
Spain,55-64,f,0.0
Spain,65-,f,0.0
Spain,25-34,m,0.0
Spain,25-34,f,0.0
Spain,55-64,m,0.0
Spain,45-54,f,0.0
Spain,35-44,f,0.0
Spain,18-24,f,0.0
Spain,65-,m,0.0
Spain,35-44,m,0.0
Spain,45-54,m,0.0
Spain,18-24,m,0.0
Spain,13-17,m,0.0
United Kingdom,55-64,f,0.0
United Kingdom,65-,f,0.0
United Kingdom,25-34,m,0.0
United Kingdom,25-34,f,0.0
United Kingdom,55-64,m,0.0
United Kingdom,45-54,f,0.0
United Kingdom,35-44,f,0.0
United Kingdom,18-24,f,0.0
United Kingdom,65-,m,0.0
United Kingdom,35-44,m,0.0
United Kingdom,45-54,m,0.0
United Kingdom,18-24,m,0.0
United Kingdom,13-17,m,0.0
_unknown_,55-64,f,0.0
_unknown_,65-,f,0.0
_unknown_,25-34,m,0.0
_unknown_,25-34,f,0.0
_unknown_,55-64,m,0.0
_unknown_,45-54,f,0.0
_unknown_,35-44,f,0.0
_unknown_,18-24,f,0.0
_unknown_,65-,m,0.0
_unknown_,35-44,m,0.0
_unknown_,45-54,m,0.0
_unknown_,18-24,m,0.0
_unknown_,13-17,m,0.0
Italy,55-64,f,0.0
Italy,65-,f,0.0
Italy,25-34,m,0.0
Italy,25-34,f,0.0
Italy,55-64,m,0.0
Italy,45-54,f,0.0
Italy,35-44,f,0.0
Italy,18-24,f,0.0
Italy,65-,m,0.0
Italy,35-44,m,0.0
Italy,45-54,m,0.0
Italy,18-24,m,0.0
Italy,13-17,m,0.0
